pulse_count,tube_rate,wall_time,monotonic
35425,28.989,1782447078.735171,12712.260752379
35426,26.368,1782447079.7351713,12713.260752561
35426,26.368,1782447080.7351732,12714.260754453
35426,26.368,1782447081.7351708,12715.260752254
35426,26.368,1782447082.7351727,12716.260754094
35426,26.368,1782447083.735201,12717.260782
35426,26.368,1782447084.7351725,12718.260753825
35426,26.368,1782447085.735181,12719.260762403
35426,26.368,1782447086.7351732,12720.260754582
35427,23.812,1782447087.735198,12721.26077928
35427,23.812,1782447088.7352028,12722.260784242
35427,23.812,1782447089.735217,12723.260798435
35427,23.812,1782447090.7352633,12724.260844503
35427,23.812,1782447091.7352102,12725.260791525
35427,23.812,1782447092.7352228,12726.260804318
35427,23.812,1782447093.7352118,12727.260793109
35427,23.812,1782447094.7352114,12728.260792544
35428,23.812,1782447095.735256,12729.260837473
35428,21.099,1782447096.735215,12730.260796132
35428,21.099,1782447097.7351854,12731.260766871
35429,19.803,1782447098.735172,12732.260753528
35431,19.803,1782447099.735176,12733.260757622
35431,20.522,1782447100.735175,12734.260756094
35431,20.522,1782447101.7351675,12735.260748951
35433,20.607,1782447102.7351732,12736.260754531
35433,20.607,1782447103.7351744,12737.260755593
35433,20.607,1782447104.7352068,12738.260788238
35433,20.607,1782447105.735205,12739.260786627
35433,20.607,1782447106.7352057,12740.260787046
35434,20.607,1782447107.7352047,12741.260785911
35434,19.01,1782447108.735236,12742.260817603
35434,19.01,1782447109.7352135,12743.260795063
35434,19.01,1782447110.7352047,12744.260785924
35434,19.01,1782447111.7352064,12745.26078772
35434,19.01,1782447112.735253,12746.26083444
35434,19.01,1782447113.7352526,12747.260834044
35434,19.01,1782447114.7352536,12748.260834769
35435,17.44,1782447115.7351742,12749.260755493
35435,17.44,1782447116.735255,12750.260836302
35435,17.44,1782447117.7351732,12751.260754372
35436,17.44,1782447118.7352138,12752.260795785
35437,16.826,1782447119.7351773,12753.26075859
35437,16.848,1782447120.7352097,12754.260791068
35438,17.277,1782447121.735213,12755.260794351
35438,17.277,1782447122.7351806,12756.260762036
35438,17.277,1782447123.7351716,12757.260752869
35439,17.277,1782447124.7351756,12758.260757099
35439,17.147,1782447125.7351801,12759.260761384
35439,17.147,1782447126.735251,12760.260832359
35440,17.147,1782447127.735257,12761.260838151
35440,16.759,1782447128.735213,12762.260794458
35440,16.759,1782447129.7351696,12763.260751418
35440,16.759,1782447130.7352057,12764.260787027
