pulse_index,dt_us,wall_time,monotonic
49,6322622,1783984505.4235654,108627.501714958
50,359386,1783984505.7829344,108627.861084137
51,2760389,1783984508.5436232,108630.621772665
52,3045728,1783984511.5896137,108633.667763112
53,3902844,1783984515.4928787,108637.571028326
54,5884077,1783984521.3773453,108643.455494832
55,1579691,1783984522.9571288,108645.035278862
56,3064937,1783984526.022424,108648.100573988
57,2005647,1783984528.0281813,108650.106330771
58,6020770,1783984534.0493379,108656.127487383
59,1514111,1783984535.5636206,108657.641770166
60,3081876,1783984538.64591,108660.724059607
61,8408974,1783984547.0554647,108669.133614446
62,8928977,1783984555.9857452,108678.063894602
63,149,1783984555.9859416,108678.064091243
64,1132499,1783984557.1178384,108679.195988091
65,2740500,1783984559.8584654,108681.936615035
66,8258626,1783984568.117678,108690.19582799
67,6090694,1783984574.2088487,108696.286998062
68,2679491,1783984576.8885863,108698.966735743
69,2437320,1783984579.3260705,108701.404219997
70,9619024,1783984588.9457004,108711.023850009
71,1708588,1783984590.6544433,108712.732592832
72,3019837,1783984593.6745148,108715.752664199
73,1012812,1783984594.6873546,108716.765504299
74,1614814,1783984596.3023212,108718.380470866
75,997948,1783984597.3001757,108719.378325171
76,2947636,1783984600.2480721,108722.326221745
77,676101,1783984600.9242098,108723.002359508
78,63037,1783984600.987164,108723.065313684
79,11340226,1783984612.328493,108734.406642719
80,1328634,1783984613.6571,108735.735249605
81,7233114,1783984620.8906782,108742.96882793
82,3342645,1783984624.2336516,108746.311801312
83,682364,1783984624.915819,108746.993969144
84,639177,1783984625.5550706,108747.633220641
85,2118360,1783984627.6736922,108749.751841857
86,5676634,1783984633.350732,108755.428882158
87,523690,1783984633.8743203,108755.952469963
88,250209,1783984634.1245213,108756.202670713
89,2798189,1783984636.9229789,108759.001128351
90,1357302,1783984638.2803926,108760.358542218
91,183604,1783984638.463945,108760.542094485
92,7164595,1783984645.629035,108767.707184529
93,915001,1783984646.5439718,108768.622121399
94,2329793,1783984648.8740344,108770.952183927
95,6179683,1783984655.054232,108777.132381403
96,1650701,1783984656.7049208,108778.783070506
97,10142886,1783984666.8484395,108788.926589027
98,1226120,1783984668.0746372,108790.152786649
99,6007100,1783984674.0828886,108796.161038289
100,154,1783984674.0830898,108796.161239471
101,7819681,1783984681.9024365,108803.98058631
102,1932176,1783984683.8347352,108805.91288459
103,5544638,1783984689.3797278,108811.457877652
104,631698,1783984690.0113668,108812.089516474
105,623860,1783984690.6351502,108812.713299642
106,1691601,1783984692.3278096,108814.405958987
107,166,1783984692.3280807,108814.406230051
108,4850843,1783984697.1783164,108819.256465856
109,2090939,1783984699.2693884,108821.347538102
110,348110,1783984699.617416,108821.695565402
111,4725769,1783984704.3435957,108826.421745271
112,810364,1783984705.1538458,108827.231995259
113,3455800,1783984708.6098962,108830.688046374
114,644966,1783984709.254911,108831.333060607
115,747822,1783984710.0028002,108832.080949689
116,7027175,1783984717.0303817,108839.108531188
117,375386,1783984717.4058414,108839.483991104
118,361312,1783984717.7671785,108839.845327925
119,11001661,1783984728.7695167,108850.847666475
120,6319259,1783984735.089793,108857.167942654
121,166,1783984735.0900235,108857.168172856
122,684706,1783984735.7745636,108857.852713251
123,164,1783984735.774724,108857.852873483
124,4629591,1783984740.4039223,108862.482072096
125,198203,1783984740.6019711,108862.680120693
126,3811679,1783984744.4140956,108866.492245016
127,1203889,1783984745.6180556,108867.696205327
128,6767059,1783984752.3853703,108874.463520014
129,1668409,1783984754.053798,108876.131947595
130,1081343,1783984755.1351976,108877.213347176
131,1055512,1783984756.1907637,108878.268913288
132,10104148,1783984766.295601,108888.373750559
133,6663749,1783984772.9595647,108895.037714349
134,3731394,1783984776.691203,108898.769352646
135,4107769,1783984780.7991343,108902.877283804
136,298514,1783984781.0975134,108903.175663125
137,4147336,1783984785.2451863,108907.323335917
138,4913928,1783984790.1592968,108912.237446261
139,1192344,1783984791.351798,108913.429947626
140,4245436,1783984795.5972874,108917.675437028
141,4388437,1783984799.9859462,108922.064095786
142,3366137,1783984803.353107,108925.431256381
143,165,1783984803.3532321,108925.431381746
144,4009923,1783984807.3625052,108929.440654906
145,786400,1783984808.1489718,108930.227121298
146,2803233,1783984810.9525213,108933.03067078
147,6654500,1783984817.607105,108939.685254679
148,230210,1783984817.8372386,108939.915388145
